Category,Subcategory,Local term,English translation,Simple category
Dogwhistle,Immigration,azil,asylum,Dogwhistle
Dogwhistle,Immigration,imigrant,immigrant,Dogwhistle
Dogwhistle,Immigration,imigracija,immigration,Dogwhistle
Dogwhistle,Immigration,šerijat,sharia,Dogwhistle
Dogwhistle,Immigration,rasni zlo?in,race-crime,Dogwhistle
Dogwhistle,Terrorism,teror,terror,Dogwhistle
Dogwhistle,Terrorism,terorista,terrorist,Dogwhistle
Dogwhistle,Terrorism,terorizovan,terrorised,Dogwhistle
Dogwhistle,Terrorism,teroriziranje,terrorising,Dogwhistle
Dogwhistle,Crime,nasilnik,thug,Dogwhistle
Dogwhistle,Crime,nasilništvo,thuggery,Dogwhistle
Dogwhistle,Crime,nasilan,thugly,Dogwhistle
Dogwhistle,Crime,kriminalac,criminal,Dogwhistle
Dogwhistle,Crime,kriminalitet,criminality,Dogwhistle
Dogwhistle,Gangs,banda,gang,Dogwhistle
Dogwhistle,Gangs,gangster,gangster,Dogwhistle
Dogwhistle,Gangs,gangsta,gangsta,Dogwhistle
Family,Geneology,majka ,mum,Family
Family,Geneology,otac,dad,Family
Family,Geneology,brat,brother,Family
Family,Geneology,sestra,sister,Family
Family,Geneology,mama,mum,Family
Family,Geneology,tata,dad,Family
Family,Geneology,geni,genes,Family
Family,Geneology,inbred,inbred,Family
Family,Relationships,devojka,girlfriend,Family
Family,Relationships,brat,boyfriend,Family
Family,Marriage,supruga,wife,Family
Family,Marriage,supruga,husband,Family
Family,Marriage,zaru?enik,fiance,Family
Family,Marriage,zaru?nica,fiancee,Family
General abuse,General swearing,kopile,bastard,General abuse
General abuse,General swearing,kraj zvona,bell end,General abuse
General abuse,General swearing,pi?ka,cunt,General abuse
General abuse,General swearing,pi?kica,cuntie,General abuse
General abuse,General swearing,jebi,fuck,General abuse
General abuse,General swearing,sranje,shit,General abuse
General abuse,General swearing,seronja,shitty,General abuse
General abuse,General swearing,glupan,tosser,General abuse
General abuse,General swearing,glupson,wanker,General abuse
General abuse,General offensive emoji,srednji prst,:middle_finger:,General abuse
General abuse,General offensive emoji,pacov,:rat:,General abuse
General abuse,General offensive emoji,zmija,:snake:,General abuse
General abuse,Paedophilia,pedo,paedo,General abuse
General abuse,Paedophilia,pedofil,paedophilic,General abuse
General abuse,Dishonesty,pacov,rat,General abuse
General abuse,Dishonesty,zmija,snake,General abuse
Go back,Go back home,vrati se u Afriku,go back to Africa,Xenophobia
Go back,Go back home,odjebi nazad,fuck off back,Xenophobia
Go back,Go back home,vrati se kuci,go back home,Xenophobia
Go back,Go back home,vrati se na,go back to,Xenophobia
Homophobia,Anti-gay,peder,fag,Homophobia
Homophobia,Anti-gay,gej,gay,Homophobia
Homophobia,Anti-gay,gejjjjjj,gayyyyyy,Homophobia
Homophobia,Anti-gay,homo,homo,Homophobia
Homophobia,Anti-lesbian,lezbejka,lesbian,Homophobia
Homophobia,Anti-lesbian,lezba,lesbo,Homophobia
Homophobia,Anti-trans,trani,tranny,Transphobia
Homophobia,Anti-trans,trans,trans,Transphobia
Homophobia,Anti-trans,transrodna osoba,transgender,Transphobia
Homophobia,Anti-trans,transžena,transwomen,Transphobia
Intracommunity slurs,Racially-motivated,?oko led,choc ice,Intracommunity slurs
Intracommunity slurs,Racially-motivated,kokos,coconut,Intracommunity slurs
Intracommunity slurs,Racially-motivated,rakun,coon,Intracommunity slurs
Possible slurs,Racial,majmun,ape,Racism
Possible slurs,Racial,džungla,jungle,Racism
Possible slurs,Racial,chimp,chimp,Racism
Possible slurs,Racial,šimpanza,chimpanzee,Racism
Possible slurs,Racial,majmun,monkey,Racism
Possible slurs,Racial,crnjo,nigga,Racism
Possible slurs,Racial,orangutani,orangutans,Racism
Possible slurs,Racial,rasta,rasta,Racism
Possible slurs,Racial,snigger,snigger,Racism
Possible slurs,Racial,lubenica,watermelon,Racism
Possible slurs,Racially-charged emoji,:gorila:,:gorilla:,Racism
Possible slurs,Racially-charged emoji,:nilski_konj:,:water_buffalo:,Racism
Possible slurs,Racially-charged emoji,:lubenica:,:watermelon:,Racism
Possible slurs,Antisemitic,zio,zio,Antisemitism
Possible slurs,Antisemitic,cionista,zionist,Antisemitism
Possible slurs,Antisemitic,cionizam,zionism,Antisemitism
Racial term,Anti-aboriginal,aboridžina,aboriginal,Racism
Racial term,Anti-aboriginal,abo,abo,Racism
Racial term,Anti-aboriginal,abbo,abbo,Racism
Racial term,Anti-aboriginal,boong,boong,Racism
Racial term,Anti-black,crn,black,Racism
Racial term,Anti-black,afrikanac,african,Racism
Racial term,Anti-black,koljeno,the knee,Racism
Racial term,Islamophobic,musliman,muslim,Islamophobia
Racial term,Islamophobic,islamski,islamic,Islamophobia
Racial term,Islamophobic,islami,islami,Islamophobia
