Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,retard,retard,Learning disability
Ableist,Learning disability,retardovaný,retarded,Learning disability
Ableist,Learning disability,postih,retard,Learning disability
Ableist,Learning disability,postihnutý,retarded,Learning disability
Ableist,Learning disability,spomalený,mentally slower,Learning disability
Ableist,Learning disability,idiot,idiot,Learning disability
Ableist,Learning disability,tupec,dumb person,Learning disability
Ableist,Learning disability,chmuľo,dumb person,Learning disability
Ableist,Learning disability,zaostalý,mentally underdeveloped,Learning disability
Ableist,Learning disability,debil,moron, retard,Learning disability
Dogwhistle,Immigration,azyl,asylum,Immigration
Dogwhistle,Immigration,imigrant,immigrant,Immigration
Dogwhistle,Immigration,prisťahovalec,immigrant,Immigration
Dogwhistle,Immigration,imigrácia,immigration,Immigration
Dogwhistle,Immigration,prisťahovalectvo,immigration,Immigration
Dogwhistle,Immigration,rasový zločin,race-crime,Immigration
Dogwhistle,Immigration,rasizmus,rasism,Immigration
Dogwhistle,Immigration,šaría,sharia,Immigration
Dogwhistle,Immigration,utečenec,refugee,Immigration
Family,Geneology,mama / otec,mum / dad,Geneology
Family,Geneology,brat / sestra,brother / sister,Geneology
Family,Geneology,gény,genes,Geneology
Family,Geneology,hybrid,a hybrid,Geneology
Family,Geneology,kríženec,a hybrid,Geneology
Family,Geneology,mutant,mutant,Geneology
Go back,Go back home,vráť sa do Afriky,go back to Africa,Go back home
Go back,Go back home,vypadni naspäť,fuck off back,Go back home
Go back,Go back home,zmizni naspäť,fuck off back,Go back home
Go back,Go back home,ťahaj naspäť,fuck off back,Go back home
Go back,Go back home,vráť sa späť domov,go back home,Go back home
Go back,Go back home,vráť sa do,go back to,Go back home
Homophobia,Anti-gay,buzerant,faggot,Anti-gay
Homophobia,Anti-gay,buzík,fag,Anti-gay
Homophobia,Anti-gay,buzna,fag,Anti-gay
Homophobia,Anti-gay,teplý,gay,Anti-gay
Homophobia,Anti-gay,priteplený,gay,Anti-gay
Homophobia,Anti-gay,teploš,gay,Anti-gay
Homophobia,Anti-gay,teplošský,gay,Anti-gay
Homophobia,Anti-gay,gay,gay,Anti-gay
Homophobia,Anti-gay,homoš,homo,Anti-gay
Homophobia,Anti-gay,homosexuál,homosexual,Anti-gay
Intracommunity slurs,Racially-motivated,cigán,gipsy,Racially-motivated
Intracommunity slurs,Racially-motivated,gadžo,non-gipsy / white,Racially-motivated
Possible slurs,Racial,opica,ape / monkey,Racial
Possible slurs,Racial,šimpanz,chimpanzee,Racial
Possible slurs,Racial,neger,nigga,Racial
Possible slurs,Racial,orangutan,orangutan,Racial
Possible slurs,Racial,rasta,rasta,Racial
Possible slurs,Racial,džungľa,jungle,Racial
Racial terms,Anti-aboriginal,domorodec,aboriginal,Anti-aboriginal
Racial terms,Anti-aboriginal,domorodý,aboriginal,Anti-aboriginal
Racist narrative,Anti-black,čierny chalan,black boy,Anti-black
Racist narrative,Anti-black,čierny chlapec,black boy,Anti-black
Racist narrative,Anti-black,černošský chalan,black boy,Anti-black
Racist narrative,Anti-black,černošský chlapec,black boy,Anti-black
Racist narrative,Anti-black,černošské vlámanie,black burglary,Anti-black
Racist narrative,Anti-black,černošský zločin,black crime,Anti-black
Racist narrative,Anti-black,čierna kriminalita,black crime,Anti-black
Racist narrative,Anti-black,černošský kriminálnik,black criminal,Anti-black
Racist narrative,Anti-black,čierny kriminálnik,black criminal,Anti-black
