Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,retard,he/she/it is a retard,Ableism
Ableist,Learning disability,retarde,they are retards,Ableism
Ableist,Learning disability,retarda,he is a retard,Ableism
Ableist,Learning disability,retardi,they are retards,Ableism
Ableist,Learning disability,retardiran,he's retarded,Ableism
Ableist,Learning disability,retardirana,she's retarded,Ableism
Ableist,Learning disability,isprdak,he's a bullshit (no equivalent translation),Ableism
Ableist,Genetic disability,Downi?,insult for people with Down syndrome,Ableism
Ableist,Genetic disability,autist,insult for autistic people,Ableism
Dogwhistle,Immigration,sme?i,asylum,Dogwhistle
Dogwhistle,Immigration,crni,immigrant,Dogwhistle
Dogwhistle,Immigration,imigrant,immigration,Dogwhistle
Dogwhistle,Terrorism,teror,terror,Dogwhistle
Dogwhistle,Terrorism,terorist,terrorist,Dogwhistle
Dogwhistle,Terrorism,teroriziran,terrorised,Dogwhistle
Dogwhistle,Terrorism,teroriziranje,terrorising,Dogwhistle
Dogwhistle,Crime,baja,thug,Dogwhistle
Family,Geneology,kurva,whore,Sexism
Family,Geneology,kuja,bitch,Sexism
Family,Geneology,kurvi,whore,Sexism
Family,Geneology,kurvama,whores,Sexism
Family,Geneology,kurvetina,whores,Sexism
Family,Geneology,kurve,whores,Sexism
Family,Geneology,kurvati,to whore ,Sexism
Family,Geneology,seljak,countryman,Family
Family,Geneology,selja?ina,countryman,Family
Family,Geneology,selja?ine,countrymen,Family
Family,Geneology,selja?inama,countrymen,Family
Family,Geneology,kurvanje,to whore ,Sexism
Family,Geneology,pi?ka,pussy,Sexism
Family,Geneology,kuje,bitch,Sexism
Family,Geneology,kujama,bitches,Sexism
Family,Geneology,kujetine,bitches,Sexism
Family,Geneology,kujo,bitch,Sexism
Family,Geneology,pi?kica,pussy,Sexism
Family,Geneology,pizdun,pussy,Sexism
Family,Geneology,pizduna,pussy,Sexism
Family,Geneology,pi?kice,pussy,Sexism
Family,Geneology,pi?kama,pussy,Sexism
Family,Geneology,pi?ketina,the best pussy - insult for a woman,Sexism
Family,Geneology,kurvar,the man who whores around,Sexism
Family,Geneology,govnar,bullshitter,General abuse
Family,Geneology,govnara,bullshitter,General abuse
Family,Geneology,glupan,stupid,General abuse
Family,Geneology,glupa?a,stupid - woman,Sexism
Family,Geneology,glupane,stupid - man,Sexism
Family,Geneology,budala,fool,General abuse
Family,Geneology,budale,fools,General abuse
Family,Geneology,glupani,stupid men,Sexism
Family,Geneology,glupa?e,stupid women,Sexism
Family,Geneology,glupa?ama,stupid women,Sexism
Family,Geneology,budalama,fools,General abuse
Family,Geneology,glupanima,stupid men,Sexism
Family,Geneology,govno jedno,you shit,General abuse
Family,Geneology,kurvin sin,son of a bitch,General abuse
