Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,retardado,retard,Ableism
Ableist,Learning disability,retardada,retard,Ableism
Ableist,Learning disability,atrasado,tard,Ableism
Ableist,Learning disability,atrasada,tard,Ableism
Ableist,Learning disability,débil mental,moron,Ableism
Ableist,Learning disability,lento,slow,Ableism
Ableist,Learning disability,lenta,slow,Ableism
Ableist,Learning disability,lerdo,slow,Ableism
Ableist,Learning disability,lerda,slow,Ableism
Ableist,Genetic disability,espática,spastic,Ableism
Ableist,Genetic disability,espático,spastic,Ableism
Ableist,Genetic disability,convulsivo,convulsive,Ableism
Ableist,Genetic disability,convulsiva,convulsive,Ableism
Ableist,Genetic disability,doente,sick,Ableism
Ableist,Genetic disability,doentão,sick,Ableism
Ableist,Genetic disability,doentona,sick,Ableism
Ableist,Genetic disability,mongo,mong,Ableism
Ableist,Genetic disability,monga,mong,Ableism
Ableist,Genetic disability,mongol,mongol,Ableism
Ableist,Genetic disability,mongoloide,mongoloid,Ableism
Dogwhistle,Immigration,maluco,wacky,Dogwhistle
Dogwhistle,Immigration,doente,sick,Dogwhistle
Dogwhistle,Immigration,doente-mental, mentally ill,Dogwhistle
Dogwhistle,Immigration,louco,crazy,Dogwhistle
Dogwhistle,Immigration,insano,insane,Dogwhistle
Dogwhistle,Immigration,imigrante,immigrant,Dogwhistle
Dogwhistle,Immigration,refugiado,refugee,Dogwhistle
Dogwhistle,Immigration,pobre,poor,Dogwhistle
Dogwhistle,Immigration,ladrão,thief,Dogwhistle
Dogwhistle,Immigration,imigração,immigration,Dogwhistle
Dogwhistle,Immigration,fuga,escape,Dogwhistle
Dogwhistle,Immigration,Allahu Akbar,(arabic expression),Dogwhistle
Dogwhistle,Immigration,terrorista,terrorist,Dogwhistle
Dogwhistle,Immigration,homem-bomba,bomb man,Dogwhistle
Dogwhistle,Immigration,racismo,racism,Dogwhistle
Dogwhistle,Immigration,racista,racist,Dogwhistle
Dogwhistle,Terrorism,terror,terror,Dogwhistle
Dogwhistle,Terrorism,terrorista,terrorist,Dogwhistle
Dogwhistle,Terrorism,aterrorizado,terrorised,Dogwhistle
Dogwhistle,Terrorism,aterrorizada,terrorised,Dogwhistle
Dogwhistle,Terrorism,aterrorizante,terrorising,Dogwhistle
Dogwhistle,Terrorism,bomba,bomb,Dogwhistle
Dogwhistle,Terrorism,homem-bomba,bomb man,Dogwhistle
Dogwhistle,Terrorism,bandido,thief,Dogwhistle
Dogwhistle,Terrorism,criminoso,criminal,Dogwhistle
Dogwhistle,Crime,bandido,bandit,Dogwhistle
Dogwhistle,Crime,ladrão,robber,Dogwhistle
Dogwhistle,Crime,criminoso,criminal,Dogwhistle
Dogwhistle,Crime,roubalheira,robbery,Dogwhistle
Dogwhistle,Crime,bandidagem,banditry,Dogwhistle
Dogwhistle,Crime,roupa de bandido,thugly,Dogwhistle
Dogwhistle,Crime,criminoso,criminal,Dogwhistle
Dogwhistle,Crime,criminosa,criminal,Dogwhistle
Dogwhistle,Crime,criminalidade,criminality,Dogwhistle
Dogwhistle,Gangs,gangue,gang,Dogwhistle
Dogwhistle,Gangs,quadrilha,gang,Dogwhistle
Dogwhistle,Gangs,gângster,gangster,Dogwhistle
Dogwhistle,Gangs,gângster,gangster,Dogwhistle
Family,Geneology,mãe,mum,Family
Family,Geneology,pai,dad,Family
Family,Geneology,irmão,sister,Family
Family,Geneology,irmã,sister,Family
Family,Geneology,mal formado,malformed,Family
Family,Geneology,deformado,deformed,Family
