Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,دیوونه,insane,Ableism
Ableist,Learning disability,دیوانه,Crazy,Ableism
Ableist,Learning disability,خل,Khal,Ableism
Ableist,Learning disability,چل,Chal,Ableism
Ableist,Learning disability,خل و چل,chaos,Ableism
Ableist,Learning disability,خنگ,stupid,Ableism
Ableist,Learning disability,احمق,fool,Ableism
Ableist,Learning disability,عقب مانده ,backward,Ableism
Ableist,Learning disability,عقب مونده ,backward,Ableism
Ableist,Learning disability,دیونه,crazy,Ableism
Ableist,Learning disability,مشنگ,machete,Ableism
Ableist,Learning disability,عقب مونده ذهنی,mentally retarded,Ableism
Ableist,Learning disability,نفهم,don't understand,Ableism
Ableist,Learning disability,بی عقل,Dumb,Ableism
Ableist,Learning disability,کم عقل,short of mind,Ableism
Ableist,Learning disability,خنگول,Khangul,Ableism
Ableist,Learning disability,بی مغز,brainless,Ableism
Ableist,Learning disability,پرت,fart,Ableism
Ableist,Learning disability,عقب افتاده,"dumb, retarded",Ableism
Ableist,Learning disability,شیرین عقل,sweet intellect,Ableism
Ableist,Learning disability,آیکیو,IQ,Ableism
Ableist,Genetic disability,مونگول,Mongol,Ableism
Ableist,Genetic disability,چهار چشمی,four eyes,Ableism
Ableist,Genetic disability,کور ,blind,Ableism
Ableist,Genetic disability,سندروم داونی,Down syndrome,Ableism
Ableist,Genetic disability,لال,Mute,Ableism
Ableist,Genetic disability,کر,Chor,Ableism
Ableist,Genetic disability,مونگولیسم,mongolism,Ableism
Ableist,Genetic disability,فلج,paralyzed,Ableism
Ableist,Genetic disability,افلیج,Afflij,Ableism
Ableist,Genetic disability,معلول,disabled,Ableism
Ableist,Genetic disability,معلول جسمی,Physically handicapped,Ableism
Ableist,Genetic disability,ویلچری,wheelchair,Ableism
Dogwhistle,Immigration,پشت کوهی,behind a mountain,Dogwhistle
Dogwhistle,Immigration,افغانی,Afghan,Dogwhistle
Dogwhistle,Immigration,عرب,Arab,Dogwhistle
