Category,Subcategory,Local term,English translation,Simple category
Homophobic,Anti-gay,puto,gay,Homophobia
Homophobic,Anti-gay,culero,gay,Homophobia
Homophobic,Anti-gay,cueco,gay,Homophobia
Homophobic,Anti-lesbian,marimacha,lesbian,Homophobia
Homophobic,Anti-lesbian,marimacho,lesbian,Homophobia
Slurs,Anti-black,mono,monkey,Racism
Slurs,Anti-black,simio,monkey,Racism
Slurs,Anti-black,gorila,gorilla,Racism
Slurs,Anti-black,negro de mierda,shitty black nigger,Racism
Slurs,Anti-black,negro muerto de hambre,nigger beggar,Racism
Sexist,Anti-woman,que tetas,nice tits,Sexist
Sexist,Anti-woman,que rico eso mami,how sexy is that,Sexist
Family,Marriage,chivo,cuckhold,Sexist
Homophobic,Anti-gay,maricon,gay,Homophobia
Homophobic,Anti-gay,marica,gay,Homophobia
Homophobic,Anti-gay,bicha,gay,Homophobia
Homophobic,Anti-gay,viado,gay,Homophobia
Homophobic,Anti-gay,veado,gay,Homophobia
Slurs,Anti-black,macaco,monkey,Racism
Racial term,Anti-aboriginal,indio,indigenous,Racism
Slurs,Anti-black,negro gorila,nigger gorilla,Racism
Sexist,Anti-woman,hijo de puta,son of a whore,Sexist
Sexist,Anti-woman,"La mujer es para la casa, como el perro","The woman is to stay at home, just like a dog",Sexist
Sexist,Anti-woman,"Que en el fútbol no se metan, que vayan a vender frutas","They should not talk about football, they should go sell fruit",Sexist
Sexist,Anti-woman,Que se dedique a la cocina o costurería,She should spend her time in the kitchen or sewing,Sexist
Sexist,Anti-woman,No te maquilles tanto,Don’t use so much makeup,Sexist
Sexist,Anti-woman,"La mujer ha avanzado y tiene capacidad sufciente, pero ahí a entrar a un camarín masculino…no estoy de acuerdo","She has gone far and is skilled enough, but from that to entering a men’s dressing room…that, I don’t agree with",Sexist
Sexist,Anti-woman,Futebol feminino é igual gordo comendo salada: não tem graça nenhuma,"Women’s football is like a fat person eating a salad, no fun",Sexist
Slurs,Anti-black,primate,monkey,Racism
Slurs,Anti-black,dale primate,monkey,Racism
Ableist,Learning disability,retardo,delay,Ableism
Ableist,Learning disability,retraso,backward,Ableism
Ableist,Learning disability,retardo mental,mental retardation,Ableism
Ableist,Learning disability,retraso mental,mental hindsight,Ableism
Ableist,Learning disability,enfermedad mental,enfermedad mental,Ableism
Ableist,Genetic disability,retardado,delayed,Ableism
Ableist,Genetic disability,retrasado,delayed,Ableism
Ableist,Genetic disability,mongólico,Mongolian,Ableism
Ableist,Genetic disability,mongol,Mongolian,Ableism
Ableist,Genetic disability,mongoloide,Mongoloid,Ableism
Ableist,Genetic disability,retardado mental,mentally retarded,Ableism
Ableist,Genetic disability,retrasado mental,mentally retarded,Ableism
Ableist,Genetic disability,tarado,moron,Ableism
Ableist,Genetic disability,estúpido,idiot,Ableism
Ableist,Genetic disability,mongolito,mongolith,Ableism
Ableist,Genetic disability,enfermo mental,mentally ill,Ableism
Dogwhistle,Immigration,sin casa,homeless,Dogwhistle
Dogwhistle,Immigration,inmigrante,immigrant,Dogwhistle
Dogwhistle,Immigration,ladrón de trabajos,job thief,Dogwhistle
