Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,מפגר,retard,Learning disability
Dogwhistle,Immigration,בית מקלט,asylum,Immigration
Dogwhistle,Immigration,מהגר,immigrant,Immigration
Dogwhistle,Immigration,עלייה,immigration,Immigration
Dogwhistle,Immigration,שריעה,sharia,Immigration
Dogwhistle,Immigration,גזע-פשע,race-crime,Immigration
Go back,Go back home,תחזור לאפריקה,go back to Africa,Go back home
Go back,Go back home,תזדיין מאחור,fuck off back,Go back home
Go back,Go back home,לך חזור הביתה,go back home,Go back home
Go back,Go back home,חזור אל,go back to,Go back home
Family,Geneology,אמא/אבא,mum / dad,Geneology
Family,Geneology,אח/אחות,brother / sister,Geneology
Family,Geneology,גנים,genes,Geneology
Family,Geneology,מגזע,inbred,Geneology
Homophobia,Anti-gay,הומו,gay,Anti-gay
Homophobia,Anti-gay,פוף,poof,Anti-gay
Homophobia,Anti-gay,הומוסקסואל,gay,Anti-gay
Homophobia,Anti-gay,קוויר,queer,Anti-gay
General abuse,General swearing,ממזר,bastard,General swearing
General abuse,General swearing,סוף פעמון,bell end,General swearing
General abuse,General swearing,זִיוּן,fuck,General swearing
General abuse,General swearing,כוס,knob,General swearing
General abuse,General swearing,לְחִיץ,knobhead,General swearing
General abuse,General swearing,חרא,shitty,General swearing
Intracommunity slurs,Racially-motivated,עַיִן יָפָה,bounty,Racially-motivated
Intracommunity slurs,Racially-motivated,קרח שוקו,choc ice,Racially-motivated
Intracommunity slurs,Racially-motivated,קוקוס,coconut,Racially-motivated
Intracommunity slurs,Racially-motivated,קון,coon,Racially-motivated
Possible slurs,Racial,ג'ונגל,jungle,Racial
Possible slurs,Racial,שימפנזה,chimpanzee,Racial
Possible slurs,Racial,קוֹף,monkey,Racial
Possible slurs,Racial,אורנג-אוטנים,orangutans,Racial
Possible slurs,Racial,צִחקוּק,snigger,Racial
Possible slurs,Racial,אבטיח,watermelon,Racial
Racial terms,Anti-aboriginal,אבוריג'יני,aboriginal,Anti-aboriginal
Racial terms,Anti-aboriginal,אבבו,abbo,Anti-aboriginal
Racial terms,Anti-aboriginal,בונג,boong,Anti-aboriginal
Racist narrative,Anti-black,ילד שחור,black boy,Anti-black
Racist narrative,Anti-black,פריצה שחורה,black burglary,Anti-black
Racist narrative,Anti-black,פשע שחור,black crime,Anti-black
Racist narrative,Anti-black,פושע שחור,black criminal,Anti-black
Racist narrative,Anti-black,כנופיה שחורה,black gang,Anti-black
Racist narrative,Anti-black,הרג שחורים,black killings,Anti-black
Racist narrative,Anti-black,סכין שחורה,black knife,Anti-black
Racist narrative,Anti-black,בחור שחור,black lad,Anti-black
Sectarianism,Protestant-Catholic
(particularly Ireland),פיאני,fenian,Protestant-Catholic
(particularly Ireland)
Sectarianism,Protestant-Catholic
(particularly Ireland),אירה,ira,Protestant-Catholic
(particularly Ireland)
Sectarianism,Protestant-Catholic
(particularly Ireland),פאפיסט,papist,Protestant-Catholic
(particularly Ireland)
Sectarianism,Protestant-Catholic
(particularly Ireland),טאיג,taig,Protestant-Catholic
(particularly Ireland)
Sexist,Anti-woman,כלבה,bitch,Anti-woman
Sexist,Anti-woman,כלבה רגישה,sensitivebitch,Anti-woman
Sexist,Anti-woman,סיגים,slag,Anti-woman
Sexist,Anti-woman,סטירה,slapper,Anti-woman
Sexist,Anti-woman,וואנץ',wench,Anti-woman
Sexist,Anti-woman,זונה,whore,Anti-woman
Sexual,Female anatomy,התחת,ass,Female anatomy
Sexual,Female anatomy,השלל,booty,Female anatomy
Sexual,Female anatomy,שדיים,breasts,Female anatomy
Sexual,Female anatomy,דגדגן,clit,Female anatomy
Sexual,Female anatomy,חֲתוּלָה,pussy,Female anatomy
Sexual,Female anatomy,ציצים,tits,Female anatomy
Slurs,Anti-black,ממזר שחור,black bastard,Anti-black
Slurs,Anti-black,כלבה שחורה,black bitch,Anti-black
Slurs,Anti-black,חתיכה שחורה,black cunt,Anti-black
Slurs,Anti-black,חלאות שחורות,black scum,Anti-black
Slurs,Anti-black,חרא שחור,black shit,Anti-black
Slurs,Anti-black,חרא שחור,black shite,Anti-black
Slurs,Anti-black,נחש שחור,black snake,Anti-black
Slurs,Anti-black,בריון שחור,black thug,Anti-black
Slurs,Anti-black,בלק,blackie,Anti-black
Slurs,Anti-black,צבעוני,colored,Anti-black
Slurs,Anti-black,כושי,negro,Anti-black
Slurs,Anti-black,ניג,nig,Anti-black
Special terms,Football-specific,כדורגל ספציפי        yid (השמצות נגד תומכי טוטנהאם),yid (slurs against Tottenham supporters),Football-specific
Special terms,Football-specific,השכרת בנים (השמצה נגד אוהדי צ'לסי),rent boys (slur against Chelsea fans),Football-specific
Violence,Violent threats,לשרוף,burn,Violent threats
Violence,Violent threats,שרפו,burned,Violent threats
Violence,Violent threats,לִדקוֹר,stab,Violent threats
Violence,Violent threats,לירות,shoot,Violent threats
Violence,Violent threats,ירייה,shot,Violent threats
