category,subcategory,local term,english translation,simple category
Ableist,Genetic disability,مغولي,mongol,Ableism
Ableist,Genetic disability,معاق,disabled,Ableism
Ableist,Genetic disability,معوق,mongoloid,Ableism
Ableist,Genetic disability,متخلف,crazy,Ableism
Ableist,Genetic disability,مريض,mad,Ableism
Dogwhistle,Immigration,مهاجر,immigrant,Dogwhistle
Dogwhistle,Immigration,متشرد,homeless,Dogwhistle
Dogwhistle,Immigration,شوارعي,living in the streets,Dogwhistle
Dogwhistle,Terrorism,إرهابي,terrorist,Dogwhistle
Dogwhistle,Crime,مجرم,criminal,Dogwhistle
Dogwhistle,Crime,سفاح,serial killer,Dogwhistle
Dogwhistle,Crime,حرامي,thief,Dogwhistle
Dogwhistle,Crime,قاتل,killer,Dogwhistle
Dogwhistle,Crime,قتال قتلة,worst than a killer,Dogwhistle
Dogwhistle,Gangs,عصابة,gang,Dogwhistle
Dogwhistle,Gangs,رجل عصابة,gangster,Dogwhistle
Dogwhistle,Gangs,مافيا,mafia,Dogwhistle
Family,Genealogy,ماما,mum,Family
Family,Genealogy,أم,mum,Family
Family,Genealogy,الجينات,genes,Family
Family,Genealogy,فطرية,inbred,Family
Family,Relationships,صديقة,girlfriend,Family
Family,Relationships,حبيب,boyfriend,Family
Family,Marriage,زوجة,wife,Family
Family,Marriage,الزوجة,wife,Family
Family,Marriage,الزوج,husband,Family
Family,Marriage,زوج,husband,Family
Family,Marriage,بعل,husband,Family
Family,Marriage,خطيب,fiance,Family
Family,Marriage,خطيبة,fiancee,Family
General abuse,Emoji,بعبوص,middle finger,General abuse
General abuse,Emoji,حثالة,piece of sh*t,General abuse
General abuse,Emoji,خبيث,snake,General abuse
General abuse,Paedophile,متحرش ,paedophile,General abuse
General abuse,Paedophile,منحرف,something like a paedophile,General abuse
General abuse,Paedophile,وسخ,filthy,General abuse
General abuse,Dishonesty,خاين,rat,General abuse
General abuse,Dishonesty,وسخ,snake,General abuse
General abuse,Dishonesty,بياع,something like rat,General abuse
Go back,Go back home,روح بلدك,go back to your country,Xenophobia
Go back,Go back home,انقلع على بلدك,piss off to your country,Xenophobia
Go back,Go back home,اطلع من بلدي,get the hell outta my country,Xenophobia
Go back,Go back home,ارجع من مكان ما اجيت,go back where you came from,Xenophobia
Homophobia,anti-gay,خنيث,gay,Homophobia
Homophobia,anti-gay,قاي,something like gay,Homophobia
Homophobia,anti-gay,تبع أولاد,something like gay,Homophobia
Homophobia,anti-gay,كعكة,something like gay,Homophobia
Homophobia,anti-lesbian,خنيثة,lesbian,Homophobia
Homophobia,anti-lesbian,مسترجلة,girl like a man,Homophobia
Homophobia,anti-lesbian,بويا,girl like a man,Homophobia
Homophobia,anti-trans,ترافيستا,transwomen,Homophobia
Homophobia,anti-trans,شب متحول,trans,Homophobia
Homophobia,anti-trans,رجال مسوي بنت,a man acting like a girl,Homophobia
Intracommunity slurs,Racially-motivated,شكلك زي القرد,making fun of appearance,Racism
Intracommunity slurs,Racially-motivated,عبيد,racist word like the n word,Racism
Intracommunity slurs,Racially-motivated,اسود,making fun of appearance,Racism
Intracommunity slurs,Racially-motivated,زنجي,N word,Racism
Possible slurs,Racial,قرد,monkey,Racism
Possible slurs,Racial,شمبنزي,chimpanzee,Racism
Possible slurs,Racial,غوريلا,gorila - as if fat-messy hair,Racism
Possible slurs,Racial,زنجي,N word,Racism
Possible slurs,Racial,صيني,making fun of chinese,Racism
Possible slurs,Racial,زلمات,making fun of arabic countries like Syria - jordan- ,Islamophobia
Possible slurs,Racial,راس البطيخة,watermelon- as If big head,Racism
Possible slurs,anti-semitic,يهودي,jewish,Antisemitism
Possible slurs,anti-semitic,صهيوني,zionist,Antisemitism
Racial terms,anti-black,اسود,black,Racism
Racial terms,anti-black,عبد,slave,Racism
Racial terms,anti-black,شكولاطة,chocolate,Racism
Racist narrative,islamophobic,شيعي,shia,Sectarianism
